"date","var","year","month"
1940-01-01,269.509033203125,1940,1
1940-02-01,274.908935546875,1940,2
1940-03-01,277.835083007812,1940,3
1940-04-01,280.006225585938,1940,4
1940-05-01,284.860717773438,1940,5
1940-06-01,287.903076171875,1940,6
1940-07-01,288.512329101562,1940,7
1940-08-01,289.608642578125,1940,8
1940-09-01,286.767944335938,1940,9
1940-10-01,281.331420898438,1940,10
1940-11-01,277.446655273438,1940,11
1940-12-01,268.0771484375,1940,12
1941-01-01,269.935302734375,1941,1
1941-02-01,273.245361328125,1941,2
1941-03-01,276.966552734375,1941,3
1941-04-01,278.584106445312,1941,4
1941-05-01,281.2822265625,1941,5
1941-06-01,288.876220703125,1941,6
1941-07-01,291.632080078125,1941,7
1941-08-01,288.309936523438,1941,8
1941-09-01,287.086791992188,1941,9
1941-10-01,280.85107421875,1941,10
1941-11-01,276.3515625,1941,11
1941-12-01,272.31103515625,1941,12
1942-01-01,269.251708984375,1942,1
1942-02-01,268.720458984375,1942,2
1942-03-01,278.514038085938,1942,3
1942-04-01,281.563720703125,1942,4
1942-05-01,284.154174804688,1942,5
1942-06-01,289.183837890625,1942,6
1942-07-01,290.347290039062,1942,7
1942-08-01,290.848754882812,1942,8
1942-09-01,288.645141601562,1942,9
1942-10-01,284.098999023438,1942,10
1942-11-01,276.09912109375,1942,11
1942-12-01,275.504028320312,1942,12
1943-01-01,274.865112304688,1943,1
1943-02-01,275.31005859375,1943,2
1943-03-01,278.602416992188,1943,3
1943-04-01,281.821899414062,1943,4
1943-05-01,284.77294921875,1943,5
1943-06-01,287.254760742188,1943,6
1943-07-01,289.98486328125,1943,7
1943-08-01,290.546020507812,1943,8
1943-09-01,288.278686523438,1943,9
1943-10-01,283.657592773438,1943,10
1943-11-01,276.05615234375,1943,11
1943-12-01,274.817138671875,1943,12
1944-01-01,274.166748046875,1944,1
1944-02-01,270.1171875,1944,2
1944-03-01,273.88916015625,1944,3
1944-04-01,281.383056640625,1944,4
1944-05-01,284.600341796875,1944,5
1944-06-01,287.580810546875,1944,6
1944-07-01,289.290283203125,1944,7
1944-08-01,292.502807617188,1944,8
1944-09-01,286.5439453125,1944,9
1944-10-01,279.817138671875,1944,10
1944-11-01,277.06396484375,1944,11
1944-12-01,273.360595703125,1944,12
1945-01-01,268.390869140625,1945,1
1945-02-01,276.031982421875,1945,2
1945-03-01,278.0029296875,1945,3
1945-04-01,282.671020507812,1945,4
1945-05-01,285.768920898438,1945,5
1945-06-01,290.2177734375,1945,6
1945-07-01,291.754150390625,1945,7
1945-08-01,288.848022460938,1945,8
1945-09-01,287.250366210938,1945,9
1945-10-01,282.6162109375,1945,10
1945-11-01,276.84130859375,1945,11
1945-12-01,274.827392578125,1945,12
1946-01-01,273.521240234375,1946,1
1946-02-01,276.068603515625,1946,2
1946-03-01,277.849243164062,1946,3
1946-04-01,282.465576171875,1946,4
1946-05-01,284.037109375,1946,5
1946-06-01,286.277465820312,1946,6
1946-07-01,290.345947265625,1946,7
1946-08-01,289.40185546875,1946,8
1946-09-01,287.042114257812,1946,9
1946-10-01,282.2939453125,1946,10
1946-11-01,277.354248046875,1946,11
1946-12-01,270.432861328125,1946,12
1947-01-01,271.422607421875,1947,1
1947-02-01,273.677978515625,1947,2
1947-03-01,278.316528320312,1947,3
1947-04-01,282.330078125,1947,4
1947-05-01,285.966552734375,1947,5
1947-06-01,289.865844726562,1947,6
1947-07-01,292.271362304688,1947,7
